code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
37202566,2018-09-20,c4d2343b-94c3-4a2a-ab2f-b9b0a119bb5f,9870e0dd-dff9-4df4-82cd-bca1ad7ef25d,2015-09-20,45.92473112,2.245969526,23.3,16.2464836874,tC/acre,0.2,0.8614999999999999,Grassland without tree/shrub cover
37202638,2018-07-11,edb49ad8-216f-4fbb-9bca-75f28db99cc1,9f3e7f81-e91b-4e96-bdf9-604bf7300a1a,2015-07-11,46.56913832,2.152022607,25.9,23.8346294676,tC/acre,0.2,1.137,Grassland without tree/shrub cover
37222482,2018-06-05,70a002f7-2fe4-4142-8c91-608d8104dfa5,2ceabfde-30cc-485b-b68b-535ef8cfcd8d,2015-06-05,45.17428745,2.377274148,28.55,21.23585738140001,tC/acre,0.2,0.919,Grassland without tree/shrub cover
37223008,2018-05-07,1da840fe-c43b-440c-a117-317ff2b155ac,5674659c-5c98-40c2-ad9d-ca0c771a7821,2015-05-07,49.87734044,1.646791868,32.2,25.3190177156,tC/acre,0.2,0.9715,Grassland without tree/shrub cover
37242384,2018-07-30,21eae04f-d1fc-4a4e-be86-2c6bf8d5eefc,03813914-7a29-4ad7-a3af-98a506d94c87,2015-07-30,44.29770932,2.520816483,19.7,18.814661512,tC/acre,0.2,1.1800000000000002,Temporary grassland
37242430,2018-07-03,805e57e6-4350-4e77-9980-66961dee1906,b22c9b33-1ce0-4ccf-8314-a078d1af636c,2015-07-03,44.71011947,2.465919313,64.9,61.983326504000026,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37242460,2018-07-17,0e3bfb2f-c155-4350-84b3-5b016f6af9ff,2b58440b-2c09-47e8-951f-ed7e0d353e0a,2015-07-17,44.97899325,2.429543319,33.5,23.887400522000004,tC/acre,0.2,0.881,Grassland without tree/shrub cover
37242582,2018-09-25,853b8d4d-84ce-4165-b896-5aca24ed7894,a3f474aa-a9d8-49c4-b726-230404f5c21a,2015-09-25,46.07171285,2.276764508,36.4,34.76414614400001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37242654,2018-10-08,91b63f9e-2788-47f9-a049-7a3b3baa2d42,c3ffc405-47db-4298-b414-388c3849e0e7,2015-10-08,46.71609099,2.18278006,33.2,31.707957472000007,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37242694,2018-06-27,242f4719-6a81-497e-9e33-9559bb19d9d0,4fed0d0f-5ac8-4363-953a-ffd4bad06ead,2015-06-27,47.07392393,2.129282279,80.3,76.691234488,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
