code,sampling_date,local_path
28982012,2015-06-08,../embeddings/output/store_location_test_script_lucas_toc/28982012_2015-06-08.csv
29001674,2015-07-14,../embeddings/output/store_location_test_script_lucas_toc/29001674_2015-07-14.csv
29001862,2015-06-17,../embeddings/output/store_location_test_script_lucas_toc/29001862_2015-06-17.csv
29002384,2015-05-26,../embeddings/output/store_location_test_script_lucas_toc/29002384_2015-05-26.csv
29022398,2015-05-30,../embeddings/output/store_location_test_script_lucas_toc/29022398_2015-05-30.csv
29041870,2015-06-30,../embeddings/output/store_location_test_script_lucas_toc/29041870_2015-06-30.csv
29041888,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/29041888_2015-08-06.csv
29041898,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/29041898_2015-08-06.csv
29061990,2015-05-21,../embeddings/output/store_location_test_script_lucas_toc/29061990_2015-05-21.csv
29081976,2015-04-25,../embeddings/output/store_location_test_script_lucas_toc/29081976_2015-04-25.csv
29082418,2015-05-27,../embeddings/output/store_location_test_script_lucas_toc/29082418_2015-05-27.csv
29101954,2015-07-11,../embeddings/output/store_location_test_script_lucas_toc/29101954_2015-07-11.csv
29102034,2015-06-19,../embeddings/output/store_location_test_script_lucas_toc/29102034_2015-06-19.csv
29102206,2015-08-09,../embeddings/output/store_location_test_script_lucas_toc/29102206_2015-08-09.csv
29102286,2015-07-16,../embeddings/output/store_location_test_script_lucas_toc/29102286_2015-07-16.csv
29122076,2015-06-27,../embeddings/output/store_location_test_script_lucas_toc/29122076_2015-06-27.csv
29122112,2015-05-20,../embeddings/output/store_location_test_script_lucas_toc/29122112_2015-05-20.csv
29122288,2015-07-16,../embeddings/output/store_location_test_script_lucas_toc/29122288_2015-07-16.csv
29122396,2015-05-30,../embeddings/output/store_location_test_script_lucas_toc/29122396_2015-05-30.csv
29122450,2015-06-16,../embeddings/output/store_location_test_script_lucas_toc/29122450_2015-06-16.csv
29142088,2015-07-05,../embeddings/output/store_location_test_script_lucas_toc/29142088_2015-07-05.csv
29142114,2015-05-31,../embeddings/output/store_location_test_script_lucas_toc/29142114_2015-05-31.csv
29161918,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/29161918_2015-08-06.csv
29182100,2015-06-01,../embeddings/output/store_location_test_script_lucas_toc/29182100_2015-06-01.csv
29182186,2015-08-10,../embeddings/output/store_location_test_script_lucas_toc/29182186_2015-08-10.csv
29182358,2015-04-28,../embeddings/output/store_location_test_script_lucas_toc/29182358_2015-04-28.csv
29202138,2015-07-06,../embeddings/output/store_location_test_script_lucas_toc/29202138_2015-07-06.csv
29222204,2015-04-28,../embeddings/output/store_location_test_script_lucas_toc/29222204_2015-04-28.csv
29222266,2015-05-18,../embeddings/output/store_location_test_script_lucas_toc/29222266_2015-05-18.csv
29242344,2015-05-29,../embeddings/output/store_location_test_script_lucas_toc/29242344_2015-05-29.csv
29262144,2015-07-06,../embeddings/output/store_location_test_script_lucas_toc/29262144_2015-07-06.csv
29281846,2015-07-01,../embeddings/output/store_location_test_script_lucas_toc/29281846_2015-07-01.csv
29282026,2015-06-18,../embeddings/output/store_location_test_script_lucas_toc/29282026_2015-06-18.csv
29282088,2015-05-20,../embeddings/output/store_location_test_script_lucas_toc/29282088_2015-05-20.csv
29282160,2015-06-08,../embeddings/output/store_location_test_script_lucas_toc/29282160_2015-06-08.csv
29302338,2015-05-29,../embeddings/output/store_location_test_script_lucas_toc/29302338_2015-05-29.csv
29322340,2015-06-18,../embeddings/output/store_location_test_script_lucas_toc/29322340_2015-06-18.csv
29341948,2015-07-13,../embeddings/output/store_location_test_script_lucas_toc/29341948_2015-07-13.csv
29342128,2015-07-11,../embeddings/output/store_location_test_script_lucas_toc/29342128_2015-07-11.csv
29342170,2015-08-13,../embeddings/output/store_location_test_script_lucas_toc/29342170_2015-08-13.csv
29342200,2015-08-20,../embeddings/output/store_location_test_script_lucas_toc/29342200_2015-08-20.csv
29342206,2015-08-20,../embeddings/output/store_location_test_script_lucas_toc/29342206_2015-08-20.csv
29342440,2015-06-26,../embeddings/output/store_location_test_script_lucas_toc/29342440_2015-06-26.csv
29361628,2015-05-03,../embeddings/output/store_location_test_script_lucas_toc/29361628_2015-05-03.csv
29361970,2015-05-05,../embeddings/output/store_location_test_script_lucas_toc/29361970_2015-05-05.csv
29362142,2015-05-25,../embeddings/output/store_location_test_script_lucas_toc/29362142_2015-05-25.csv
29381756,2015-05-18,../embeddings/output/store_location_test_script_lucas_toc/29381756_2015-05-18.csv
29382056,2015-06-16,../embeddings/output/store_location_test_script_lucas_toc/29382056_2015-06-16.csv
29382188,2015-08-21,../embeddings/output/store_location_test_script_lucas_toc/29382188_2015-08-21.csv
29401956,2015-04-24,../embeddings/output/store_location_test_script_lucas_toc/29401956_2015-04-24.csv
29402158,2015-05-21,../embeddings/output/store_location_test_script_lucas_toc/29402158_2015-05-21.csv
29441976,2015-05-11,../embeddings/output/store_location_test_script_lucas_toc/29441976_2015-05-11.csv
29442364,2015-07-20,../embeddings/output/store_location_test_script_lucas_toc/29442364_2015-07-20.csv
29442378,2015-07-24,../embeddings/output/store_location_test_script_lucas_toc/29442378_2015-07-24.csv
29461720,2015-06-04,../embeddings/output/store_location_test_script_lucas_toc/29461720_2015-06-04.csv
29461926,2015-07-12,../embeddings/output/store_location_test_script_lucas_toc/29461926_2015-07-12.csv
29462044,2015-05-12,../embeddings/output/store_location_test_script_lucas_toc/29462044_2015-05-12.csv
29462056,2015-06-16,../embeddings/output/store_location_test_script_lucas_toc/29462056_2015-06-16.csv
29482162,2015-06-07,../embeddings/output/store_location_test_script_lucas_toc/29482162_2015-06-07.csv
29501736,2015-06-01,../embeddings/output/store_location_test_script_lucas_toc/29501736_2015-06-01.csv
29521732,2015-06-01,../embeddings/output/store_location_test_script_lucas_toc/29521732_2015-06-01.csv
29541718,2015-06-01,../embeddings/output/store_location_test_script_lucas_toc/29541718_2015-06-01.csv
29562218,2015-06-16,../embeddings/output/store_location_test_script_lucas_toc/29562218_2015-06-16.csv
29581942,2015-05-29,../embeddings/output/store_location_test_script_lucas_toc/29581942_2015-05-29.csv
29582312,2015-05-25,../embeddings/output/store_location_test_script_lucas_toc/29582312_2015-05-25.csv
29602038,2015-06-25,../embeddings/output/store_location_test_script_lucas_toc/29602038_2015-06-25.csv
29602142,2015-05-21,../embeddings/output/store_location_test_script_lucas_toc/29602142_2015-05-21.csv
29621878,2015-06-19,../embeddings/output/store_location_test_script_lucas_toc/29621878_2015-06-19.csv
29641674,2015-06-28,../embeddings/output/store_location_test_script_lucas_toc/29641674_2015-06-28.csv
29642098,2015-05-16,../embeddings/output/store_location_test_script_lucas_toc/29642098_2015-05-16.csv
29661672,2015-05-11,../embeddings/output/store_location_test_script_lucas_toc/29661672_2015-05-11.csv
29661680,2015-06-29,../embeddings/output/store_location_test_script_lucas_toc/29661680_2015-06-29.csv
29661762,2015-05-15,../embeddings/output/store_location_test_script_lucas_toc/29661762_2015-05-15.csv
29661968,2015-06-29,../embeddings/output/store_location_test_script_lucas_toc/29661968_2015-06-29.csv
29662216,2015-06-15,../embeddings/output/store_location_test_script_lucas_toc/29662216_2015-06-15.csv
29682168,2015-05-01,../embeddings/output/store_location_test_script_lucas_toc/29682168_2015-05-01.csv
29701706,2015-06-04,../embeddings/output/store_location_test_script_lucas_toc/29701706_2015-06-04.csv
29702138,2015-07-30,../embeddings/output/store_location_test_script_lucas_toc/29702138_2015-07-30.csv
29721970,2015-05-29,../embeddings/output/store_location_test_script_lucas_toc/29721970_2015-05-29.csv
29722178,2015-05-12,../embeddings/output/store_location_test_script_lucas_toc/29722178_2015-05-12.csv
29761754,2015-05-17,../embeddings/output/store_location_test_script_lucas_toc/29761754_2015-05-17.csv
29761880,2015-05-28,../embeddings/output/store_location_test_script_lucas_toc/29761880_2015-05-28.csv
29762168,2015-05-12,../embeddings/output/store_location_test_script_lucas_toc/29762168_2015-05-12.csv
29781738,2015-05-15,../embeddings/output/store_location_test_script_lucas_toc/29781738_2015-05-15.csv
29782206,2015-06-02,../embeddings/output/store_location_test_script_lucas_toc/29782206_2015-06-02.csv
29822326,2015-08-16,../embeddings/output/store_location_test_script_lucas_toc/29822326_2015-08-16.csv
29842122,2015-05-09,../embeddings/output/store_location_test_script_lucas_toc/29842122_2015-05-09.csv
29862388,2015-05-16,../embeddings/output/store_location_test_script_lucas_toc/29862388_2015-05-16.csv
29882084,2015-05-17,../embeddings/output/store_location_test_script_lucas_toc/29882084_2015-05-17.csv
29882126,2015-05-08,../embeddings/output/store_location_test_script_lucas_toc/29882126_2015-05-08.csv
29901692,2015-06-25,../embeddings/output/store_location_test_script_lucas_toc/29901692_2015-06-25.csv
29922350,2015-06-23,../embeddings/output/store_location_test_script_lucas_toc/29922350_2015-06-23.csv
29923358,2015-08-14,../embeddings/output/store_location_test_script_lucas_toc/29923358_2015-08-14.csv
29941704,2015-07-12,../embeddings/output/store_location_test_script_lucas_toc/29941704_2015-07-12.csv
29941888,2015-05-28,../embeddings/output/store_location_test_script_lucas_toc/29941888_2015-05-28.csv
29941916,2015-06-06,../embeddings/output/store_location_test_script_lucas_toc/29941916_2015-06-06.csv
29941942,2015-04-28,../embeddings/output/store_location_test_script_lucas_toc/29941942_2015-04-28.csv
29962106,2015-05-19,../embeddings/output/store_location_test_script_lucas_toc/29962106_2015-05-19.csv
29981716,2015-07-10,../embeddings/output/store_location_test_script_lucas_toc/29981716_2015-07-10.csv
29982076,2015-05-23,../embeddings/output/store_location_test_script_lucas_toc/29982076_2015-05-23.csv
29982166,2015-05-19,../embeddings/output/store_location_test_script_lucas_toc/29982166_2015-05-19.csv
30001684,2015-05-07,../embeddings/output/store_location_test_script_lucas_toc/30001684_2015-05-07.csv
30002092,2015-05-18,../embeddings/output/store_location_test_script_lucas_toc/30002092_2015-05-18.csv
30002236,2015-06-24,../embeddings/output/store_location_test_script_lucas_toc/30002236_2015-06-24.csv
30002386,2015-05-21,../embeddings/output/store_location_test_script_lucas_toc/30002386_2015-05-21.csv
30002398,2015-05-16,../embeddings/output/store_location_test_script_lucas_toc/30002398_2015-05-16.csv
30022086,2015-05-23,../embeddings/output/store_location_test_script_lucas_toc/30022086_2015-05-23.csv
30022122,2015-05-10,../embeddings/output/store_location_test_script_lucas_toc/30022122_2015-05-10.csv
30022410,2015-07-18,../embeddings/output/store_location_test_script_lucas_toc/30022410_2015-07-18.csv
30042042,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/30042042_2015-08-08.csv
30042052,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/30042052_2015-08-08.csv
30061648,2015-05-16,../embeddings/output/store_location_test_script_lucas_toc/30061648_2015-05-16.csv
30061696,2015-05-07,../embeddings/output/store_location_test_script_lucas_toc/30061696_2015-05-07.csv
30081718,2015-07-10,../embeddings/output/store_location_test_script_lucas_toc/30081718_2015-07-10.csv
30082100,2015-05-19,../embeddings/output/store_location_test_script_lucas_toc/30082100_2015-05-19.csv
30121708,2015-07-13,../embeddings/output/store_location_test_script_lucas_toc/30121708_2015-07-13.csv
30121722,2015-07-07,../embeddings/output/store_location_test_script_lucas_toc/30121722_2015-07-07.csv
30122054,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/30122054_2015-08-08.csv
30122060,2015-06-12,../embeddings/output/store_location_test_script_lucas_toc/30122060_2015-06-12.csv
30122072,2015-06-18,../embeddings/output/store_location_test_script_lucas_toc/30122072_2015-06-18.csv
30142056,2015-06-12,../embeddings/output/store_location_test_script_lucas_toc/30142056_2015-06-12.csv
30142106,2015-05-28,../embeddings/output/store_location_test_script_lucas_toc/30142106_2015-05-28.csv
30142232,2015-06-22,../embeddings/output/store_location_test_script_lucas_toc/30142232_2015-06-22.csv
30161670,2015-05-18,../embeddings/output/store_location_test_script_lucas_toc/30161670_2015-05-18.csv
30161680,2015-05-04,../embeddings/output/store_location_test_script_lucas_toc/30161680_2015-05-04.csv
30161688,2015-05-04,../embeddings/output/store_location_test_script_lucas_toc/30161688_2015-05-04.csv
30161932,2015-06-06,../embeddings/output/store_location_test_script_lucas_toc/30161932_2015-06-06.csv
30162054,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/30162054_2015-08-08.csv
30162072,2015-06-05,../embeddings/output/store_location_test_script_lucas_toc/30162072_2015-06-05.csv
30162184,2015-05-29,../embeddings/output/store_location_test_script_lucas_toc/30162184_2015-05-29.csv
30162346,2015-06-23,../embeddings/output/store_location_test_script_lucas_toc/30162346_2015-06-23.csv
30181738,2015-06-21,../embeddings/output/store_location_test_script_lucas_toc/30181738_2015-06-21.csv
30182074,2015-06-05,../embeddings/output/store_location_test_script_lucas_toc/30182074_2015-06-05.csv
30182326,2015-05-20,../embeddings/output/store_location_test_script_lucas_toc/30182326_2015-05-20.csv
30201726,2015-07-07,../embeddings/output/store_location_test_script_lucas_toc/30201726_2015-07-07.csv
30202148,2015-08-11,../embeddings/output/store_location_test_script_lucas_toc/30202148_2015-08-11.csv
30202184,2015-05-29,../embeddings/output/store_location_test_script_lucas_toc/30202184_2015-05-29.csv
30202396,2015-07-17,../embeddings/output/store_location_test_script_lucas_toc/30202396_2015-07-17.csv
30221808,2015-05-17,../embeddings/output/store_location_test_script_lucas_toc/30221808_2015-05-17.csv
30222060,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/30222060_2015-08-08.csv
30223342,2015-07-31,../embeddings/output/store_location_test_script_lucas_toc/30223342_2015-07-31.csv
30241688,2015-05-04,../embeddings/output/store_location_test_script_lucas_toc/30241688_2015-05-04.csv
30242062,2015-08-01,../embeddings/output/store_location_test_script_lucas_toc/30242062_2015-08-01.csv
